<<<<<<< HEAD
; PERSON  C:\Users\araborn\AppData\Local\Temp\RtmpukJnDo\winstepsR_examples\example_domain  Sep 08 2026 12:29
;ENTRY MEASURE ST   COUNT    SCORE MODLSE IN.MSQ INZSTD OUTMSQ OUTZST  DISPL   PTMA WEIGHT OBSMA EXPMA PMA-E  RMSR    WMLE  INDF OUTDF NAME
     1  3.3792  0     6.0      6.0 1.9260   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00  3.1171   .00   .00 P001
     2 -3.7413 -1     6.0       .0 1.9258   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00 -3.4786   .00   .00 P002
     3  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P003
     4  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P004
     5   .7514  1     6.0      4.0  .9933    .84   -.23    .64   -.26  .0000    .62   1.00  66.7  74.9   .48   .38   .6711  9.57  3.19 P005
     6 -2.2597  1     6.0      1.0 1.1910   1.07    .32    .63    .17  .0000    .39   1.00  83.3  83.3   .37   .35 -1.9955  4.72  1.00 P006
     7  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P007
     8 -1.1153  1     6.0      2.0  .9929    .83   -.24    .63   -.27  .0000    .62   1.00  66.7  74.9   .48   .38 -1.0353  9.63  3.18 P008
     9  1.8968  1     6.0      5.0 1.1914   1.41    .77   1.14    .57  .0000    .13   1.00  83.3  83.3   .37   .41  1.6328  4.72  1.00 P009
    10 -1.1153  1     6.0      2.0  .9929    .83   -.24    .63   -.27  .0000    .62   1.00  66.7  74.9   .48   .38 -1.0353  9.63  3.18 P010
    11 -1.1153  1     6.0      2.0  .9929   1.17    .50    .92    .16  .0000    .41   1.00  66.7  74.9   .48   .44 -1.0353  9.63  3.18 P011
    12   .7514  1     6.0      4.0  .9933   2.00   1.86   2.21   1.41  .0000   -.21   1.00  33.3  74.9   .48   .58   .6711  9.57  3.19 P012
    13   .7514  1     6.0      4.0  .9933   1.32    .78   1.67    .97  .0000    .21   1.00  66.7  74.9   .48   .47   .6711  9.57  3.19 P013
    14   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P014
    15 -2.2597  1     6.0      1.0 1.1910   1.07    .32    .63    .17  .0000    .39   1.00  83.3  83.3   .37   .35 -1.9955  4.72  1.00 P015
    16  1.8968  1     6.0      5.0 1.1914   1.07    .32    .63    .17  .0000    .39   1.00  83.3  83.3   .37   .35  1.6328  4.72  1.00 P016
    17   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P017
    18 -1.1153  1     6.0      2.0  .9929    .49  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29 -1.0353  9.63  3.18 P018
    19  -.1822  1     6.0      3.0  .9533   1.27    .72   1.52    .98  .0000    .29   1.00  66.7  73.3   .51   .48  -.1824 10.37  6.23 P019
    20  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P020
    21   .7514  1     6.0      4.0  .9933   1.81   1.59   1.54    .85  .0000    .00   1.00  33.3  74.9   .48   .55   .6711  9.57  3.19 P021
    22  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P022
    23 -3.7413 -1     6.0       .0 1.9258   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00 -3.4786   .00   .00 P023
    24  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P024
    25  -.1822  1     6.0      3.0  .9533   1.28    .73   1.53    .99  .0000    .29   1.00  66.7  73.3   .51   .48  -.1824 10.37  6.23 P025
    26  1.8968  1     6.0      5.0 1.1914   1.72   1.13   4.19   1.77  .0000   -.39   1.00  83.3  83.3   .37   .45  1.6328  4.72  1.00 P026
    27  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P027
    28  -.1822  1     6.0      3.0  .9533    .78   -.39    .65   -.53  .0000    .68   1.00  66.7  73.3   .51   .38  -.1824 10.37  6.23 P028
    29   .7514  1     6.0      4.0  .9933   1.17    .50    .92    .16  .0000    .41   1.00  66.7  74.9   .48   .44   .6711  9.57  3.19 P029
    30   .7514  1     6.0      4.0  .9933   1.17    .50    .92    .16  .0000    .41   1.00  66.7  74.9   .48   .44   .6711  9.57  3.19 P030
    31  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P031
    32 -1.1153  1     6.0      2.0  .9929    .49  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29 -1.0353  9.63  3.18 P032
    33  -.1822  1     6.0      3.0  .9533   1.07    .30    .96    .12  .0000    .49   1.00  66.7  73.3   .51   .44  -.1824 10.37  6.23 P033
    34   .6890  1     5.0      3.0 1.0180    .50  -1.30    .44  -1.05  .0000    .87   1.00 100.0  71.1   .44   .31   .6322 10.88  6.05 P034
    35  -.1822  1     6.0      3.0  .9533   1.07    .30    .96    .12  .0000    .49   1.00  66.7  73.3   .51   .44  -.1824 10.37  6.23 P035
    36  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P036
    37  1.4149  1     5.0      4.0 1.2702    .43   -.81    .27   -.31  .0000    .81   1.00 100.0  82.2   .46   .23  1.1615  4.05  1.04 P037
    38  -.1822  1     6.0      3.0  .9533   1.07    .30    .96    .12  .0000    .49   1.00  66.7  73.3   .51   .44  -.1824 10.37  6.23 P038
    39  -.1822  1     6.0      3.0  .9533   1.27    .72   1.52    .98  .0000    .29   1.00  66.7  73.3   .51   .48  -.1824 10.37  6.23 P039
    40  -.1822  1     6.0      3.0  .9533    .78   -.39    .65   -.53  .0000    .68   1.00  66.7  73.3   .51   .38  -.1824 10.37  6.23 P040
    41   .7514  1     6.0      4.0  .9933   1.65   1.35   1.96   1.21  .0000    .00   1.00  66.7  74.9   .48   .53   .6711  9.57  3.19 P041
    42  -.1822  1     6.0      3.0  .9533    .78   -.39    .65   -.53  .0000    .68   1.00  66.7  73.3   .51   .38  -.1824 10.37  6.23 P042
    43 -2.2597  1     6.0      1.0 1.1910    .60   -.50    .33   -.18  .0000    .65   1.00  83.3  83.3   .37   .27 -1.9955  4.72  1.00 P043
    44 -1.1153  1     6.0      2.0  .9929    .83   -.24    .63   -.27  .0000    .62   1.00  66.7  74.9   .48   .38 -1.0353  9.63  3.18 P044
    45 -2.2597  1     6.0      1.0 1.1910    .60   -.50    .33   -.18  .0000    .65   1.00  83.3  83.3   .37   .27 -1.9955  4.72  1.00 P045
    46  3.3792  0     6.0      6.0 1.9260   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00  3.1171   .00   .00 P046
    47   .7514  1     6.0      4.0  .9933   1.17    .50    .92    .16  .0000    .41   1.00  66.7  74.9   .48   .44   .6711  9.57  3.19 P047
    48  -.3257  1     5.0      2.0 1.0178    .50  -1.30    .44  -1.04  .0000    .87   1.00 100.0  71.0   .44   .31  -.2694 10.93  6.04 P048
    49  3.3792  0     6.0      6.0 1.9260   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00  3.1171   .00   .00 P049
    50  1.8968  1     6.0      5.0 1.1914   1.07    .32    .63    .17  .0000    .39   1.00  83.3  83.3   .37   .35  1.6328  4.72  1.00 P050
    51 -2.2597  1     6.0      1.0 1.1910   1.40    .77   1.14    .56  .0000    .13   1.00  83.3  83.3   .37   .41 -1.9955  4.72  1.00 P051
    52   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P052
    53 -1.1153  1     6.0      2.0  .9929    .49  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29 -1.0353  9.63  3.18 P053
    54   .0979  1     5.0      3.0 1.0664    .89   -.05    .72   -.23  .0000    .62   1.00  60.0  73.8   .52   .40   .0174  7.74  4.24 P054
    55  -.3257  1     5.0      2.0 1.0178   1.19    .55   1.16    .46  .0000    .29   1.00  60.0  71.0   .44   .48  -.2694 10.93  6.04 P055
    56  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P056
    57 -1.1153  1     6.0      2.0  .9929    .83   -.24    .63   -.27  .0000    .62   1.00  66.7  74.9   .48   .38 -1.0353  9.63  3.18 P057
    58  -.1822  1     6.0      3.0  .9533   1.69   1.45   1.53    .99  .0000    .10   1.00  33.3  73.3   .51   .56  -.1824 10.37  6.23 P058
    59   .7514  1     6.0      4.0  .9933    .84   -.23    .64   -.26  .0000    .62   1.00  66.7  74.9   .48   .38   .6711  9.57  3.19 P059
    60   .5010  1     5.0      3.0 1.0774   1.71   1.36   2.98   1.91  .0000   -.04   1.00  60.0  74.3   .53   .54   .4747  8.36  3.12 P060
    61  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P061
    62   .7514  1     6.0      4.0  .9933   1.13    .42   1.00    .27  .0000    .41   1.00  66.7  74.9   .48   .44   .6711  9.57  3.19 P062
    63  -.1822  1     6.0      3.0  .9533   1.07    .30    .96    .12  .0000    .49   1.00  66.7  73.3   .51   .44  -.1824 10.37  6.23 P063
    64   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P064
    65 -2.2597  1     6.0      1.0 1.1910   1.07    .32    .63    .17  .0000    .39   1.00  83.3  83.3   .37   .35 -1.9955  4.72  1.00 P065
    66  -.1822  1     6.0      3.0  .9533    .78   -.39    .65   -.53  .0000    .68   1.00  66.7  73.3   .51   .38  -.1824 10.37  6.23 P066
    67 -3.7413 -1     6.0       .0 1.9258   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00 -3.4786   .00   .00 P067
    68  1.8968  1     6.0      5.0 1.1914   1.61   1.01   2.16   1.09  .0000   -.13   1.00  83.3  83.3   .37   .44  1.6328  4.72  1.00 P068
    69 -1.1153  1     6.0      2.0  .9929   1.32    .79   1.68    .98  .0000    .21   1.00  66.7  74.9   .48   .47 -1.0353  9.63  3.18 P069
    70   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P070
    71  1.8968  1     6.0      5.0 1.1914   1.07    .32    .63    .17  .0000    .39   1.00  83.3  83.3   .37   .35  1.6328  4.72  1.00 P071
    72 -1.1153  1     6.0      2.0  .9929   1.12    .41   1.00    .26  .0000    .41   1.00  66.7  74.9   .48   .44 -1.0353  9.63  3.18 P072
    73  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P073
    74 -1.1153  1     6.0      2.0  .9929    .49  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29 -1.0353  9.63  3.18 P074
    75  3.3792  0     6.0      6.0 1.9260   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00  3.1171   .00   .00 P075
    76 -1.1153  1     6.0      2.0  .9929   1.17    .50    .92    .16  .0000    .41   1.00  66.7  74.9   .48   .44 -1.0353  9.63  3.18 P076
    77  3.3792  0     6.0      6.0 1.9260   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00  3.1171   .00   .00 P077
