; PERSON  C:\Users\araborn\AppData\Local\Temp\RtmpukJnDo\winstepsR_examples\example_full\c  Sep 08 2026 12:29
;ENTRY MEASURE ST   COUNT    SCORE MODLSE IN.MSQ INZSTD OUTMSQ OUTZST  DISPL   PTMA WEIGHT OBSMA EXPMA PMA-E  RMSR    WMLE  INDF OUTDF NAME
     1  4.3237  0    12.0     12.0 1.8767   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00  3.9477   .00   .00 P001
     2 -4.3237 -1    12.0       .0 1.8767   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00 -3.9477   .00   .00 P002
     3  1.4604  1    12.0      9.0  .7492    .72   -.73    .51   -.53  .0000    .64   1.00  91.7  77.9   .44   .33  1.3820 15.49  3.40 P003
     4   .0000  1    12.0      6.0  .6752    .47  -2.06    .40  -1.78  .0000    .87   1.00 100.0  73.2   .52   .29   .0000 20.68 12.06 P004
     5   .9364  1    12.0      8.0  .7035   1.00    .12    .80   -.18  .0000    .51   1.00  75.0  74.9   .48   .41   .8941 19.04  6.20 P005
     6 -2.0860  1    12.0      2.0  .8441   1.08    .32    .64   -.01  .0000    .39   1.00  83.3  83.3   .38   .35 -1.9396  9.35  1.68 P006
     7  -.9364  1    12.0      4.0  .7035   1.06    .30    .93    .06  .0000    .46   1.00  75.0  74.9   .48   .42  -.8941 19.04  6.20 P007
     8  -.9364  1    12.0      4.0  .7035    .98    .04    .86   -.07  .0000    .51   1.00  75.0  74.9   .48   .41  -.8941 19.04  6.20 P008
     9   .9364  1    12.0      8.0  .7035   1.09    .37    .88   -.03  .0000    .46   1.00  75.0  74.9   .48   .43   .8941 19.04  6.20 P009
    10  -.9364  1    12.0      4.0  .7035   1.15    .56    .99    .17  .0000    .41   1.00  58.3  74.9   .48   .44  -.8941 19.04  6.20 P010
    11  -.4588  1    12.0      5.0  .6817    .99    .07    .97    .08  .0000    .51   1.00  83.3  73.6   .51   .42  -.4399 20.38  9.92 P011
    12   .0000  1    12.0      6.0  .6752   1.42   1.30   1.44   1.08  .0000    .24   1.00  66.7  73.2   .52   .51   .0000 20.68 12.06 P012
    13   .0000  1    12.0      6.0  .6752   1.00    .10    .91   -.09  .0000    .53   1.00  66.7  73.2   .52   .43   .0000 20.68 12.06 P013
    14   .0000  1    12.0      6.0  .6752    .55  -1.65    .46  -1.53  .0000    .82   1.00  83.3  73.2   .52   .32   .0000 20.68 12.06 P014
    15 -2.0860  1    12.0      2.0  .8441    .86   -.17    .48   -.24  .0000    .52   1.00  83.3  83.3   .38   .32 -1.9396  9.35  1.68 P015
    16  1.4604  1    12.0      9.0  .7492    .74   -.68    .50   -.56  .0000    .64   1.00  75.0  77.9   .44   .33  1.3820 15.49  3.40 P016
    17  1.4604  1    12.0      9.0  .7492    .84   -.36    .56   -.43  .0000    .59   1.00  75.0  77.9   .44   .35  1.3820 15.49  3.40 P017
    18  -.4588  1    12.0      5.0  .6817    .89   -.27   1.38    .91  .0000    .51   1.00  83.3  73.6   .51   .40  -.4399 20.38  9.92 P018
    19 -1.4604  1    12.0      3.0  .7492   1.36   1.01   1.08    .36  .0000    .25   1.00  58.3  77.9   .44   .45 -1.3820 15.49  3.40 P019
    20   .4588  1    12.0      7.0  .6817    .84   -.44    .82   -.28  .0000    .61   1.00  83.3  73.6   .51   .39   .4399 20.38  9.92 P020
    21   .4588  1    12.0      7.0  .6817   1.27    .89   1.10    .36  .0000    .37   1.00  50.0  73.6   .51   .48   .4399 20.38  9.92 P021
    22   .0000  1    12.0      6.0  .6752    .47  -2.06    .40  -1.78  .0000    .87   1.00 100.0  73.2   .52   .29   .0000 20.68 12.06 P022
    23 -2.0860  1    12.0      2.0  .8441    .96    .06    .57   -.11  .0000    .45   1.00  83.3  83.3   .38   .33 -1.9396  9.35  1.68 P023
    24   .9364  1    12.0      8.0  .7035    .58  -1.41    .45  -1.04  .0000    .77   1.00  91.7  74.9   .48   .31   .8941 19.04  6.20 P024
    25   .9364  1    12.0      8.0  .7035   1.90   2.32   2.36   1.94  .0000   -.15   1.00  41.7  74.9   .48   .57   .8941 19.04  6.20 P025
    26  1.4604  1    12.0      9.0  .7492   1.08    .34   1.67    .99  .0000    .31   1.00  75.0  77.9   .44   .40  1.3820 15.49  3.40 P026
    27   .9364  1    12.0      8.0  .7035    .92   -.16    .74   -.32  .0000    .56   1.00  75.0  74.9   .48   .39   .8941 19.04  6.20 P027
    28  -.9364  1    12.0      4.0  .7035    .91   -.16    .74   -.31  .0000    .56   1.00  75.0  74.9   .48   .39  -.8941 19.04  6.20 P028
    29   .4588  1    12.0      7.0  .6817   1.08    .36   1.01    .18  .0000    .46   1.00  66.7  73.6   .51   .44   .4399 20.38  9.92 P029
    30   .4588  1    12.0      7.0  .6817   1.11    .43    .96    .05  .0000    .47   1.00  66.7  73.6   .51   .45   .4399 20.38  9.92 P030
    31  -.4588  1    12.0      5.0  .6817    .47  -2.01    .40  -1.61  .0000    .86   1.00 100.0  73.6   .51   .29  -.4399 20.38  9.92 P031
    32  -.4588  1    12.0      5.0  .6817    .71   -.93    .61   -.85  .0000    .71   1.00  83.3  73.6   .51   .36  -.4399 20.38  9.92 P032
    33   .0000  1    12.0      6.0  .6752    .76   -.73    .71   -.67  .0000    .68   1.00  83.3  73.2   .52   .37   .0000 20.68 12.06 P033
    34  1.4430  1    11.0      8.0  .7536   1.03    .21    .76   -.17  .0000    .45   1.00  72.7  76.1   .43   .41  1.3679 16.17  4.51 P034
    35   .0000  1    12.0      6.0  .6752   1.06    .29   1.01    .16  .0000    .48   1.00  66.7  73.2   .52   .44   .0000 20.68 12.06 P035
    36  2.0860  1    12.0     10.0  .8441    .61   -.83    .34   -.47  .0000    .65   1.00  83.3  83.3   .38   .27  1.9396  9.35  1.68 P036
    37  1.2321  1    11.0      8.0  .7777    .46  -1.64    .33  -1.01  .0000    .82   1.00 100.0  78.1   .48   .26  1.1585 13.37  3.72 P037
    38  -.4588  1    12.0      5.0  .6817    .80   -.60    .66   -.70  .0000    .66   1.00  83.3  73.6   .51   .38  -.4399 20.38  9.92 P038
